customer_code,first_name,last_name,id_number,date_of_birth,gender,email,phone_number,province,city,postal_code,income_bracket,employment_status,credit_score,primary_bank,primary_branch
CUS16214,Chelsea,Hatfield,8012014188,1945-02-07,M,chelsea.hatfield@gmail.com,+270606645832,Gauteng,Polokwane,6288,500K-1M,Student,644,TymeBank,Digital
CUS92273,David,Rodriguez,8006031180,1980-11-12,M,david.rodriguez@gmail.com,+270721583888,Northern Cape,Kimberley,3685,0-100K,Student,550,Discovery Bank,Lynnwood
CUS42038,Laura,Lee,8303060087,1985-10-20,M,laura.lee@gmail.com,+270679129200,Mpumalanga,Kimberley,9951,0-100K,Student,369,Nedbank,Hatfield
CUS82019,David,Hooper,6608011084,1965-04-15,F,david.hooper@yahoo.com,+270627796467,KwaZulu-Natal,Mbombela,5191,250K-500K,Employed,334,Standard Bank,Brooklyn
CUS33049,Katrina,Jackson,8006025088,1979-01-18,M,katrina.jackson@gmail.com,+270834029518,North West,East London,5950,500K-1M,Self-employed,564,TymeBank,Digital
CUS91585,Bobby,Long,9902110083,1975-04-27,M,bobby.long@yahoo.com,+270769523974,Eastern Cape,Gqeberha,8145,250K-500K,Retired,346,Capitec,Midrand
CUS97269,Sarah,Johnson,9209118180,1994-07-05,F,sarah.johnson@yahoo.com,+270625357344,Limpopo,Kimberley,1280,0-100K,Student,596,Standard Bank,Umhlanga
CUS52973,Debra,Thomas,8402220087,1957-05-10,M,debra.thomas@yahoo.com,+270623337461,Limpopo,Kimberley,3663,1M+,Employed,651,Capitec,Centurion
CUS45907,Bradley,Sharp,8402276082,1962-06-01,F,bradley.sharp@outlook.com,+270684645805,Northern Cape,Pretoria,3303,0-100K,Student,722,Nedbank,V&A Waterfront
CUS17843,Timothy,Fletcher,8808143086,1999-01-20,M,timothy.fletcher@gmail.com,+270787912781,Eastern Cape,Johannesburg,3494,1M+,Employed,805,FNB,Menlyn
CUS18714,Alexandra,Roberts,8105113183,1975-08-03,F,alexandra.roberts@gmail.com,+270610516317,Mpumalanga,Cape Town,9944,250K-500K,Student,463,Standard Bank,Rosebank
CUS23583,Stacy,Lopez,8909277080,1941-06-21,F,stacy.lopez@outlook.com,+270609323880,KwaZulu-Natal,Bloemfontein,1642,1M+,Student,621,FNB,Tyger Valley
CUS58578,Frank,Taylor,8806246089,1979-09-26,M,frank.taylor@yahoo.com,+270686697838,Eastern Cape,Durban,7849,1M+,Employed,385,Nedbank,Musgrave
CUS37137,Erin,Moore,8506253186,1942-03-31,F,erin.moore@gmail.com,+270679963604,Western Cape,Cape Town,6848,0-100K,Retired,447,ABSA,Cape Town CBD
CUS58538,Glenn,Harvey,7212066180,1943-06-07,F,glenn.harvey@yahoo.com,+270747659597,Eastern Cape,Cape Town,4934,500K-1M,Student,587,Standard Bank,Rosebank
CUS66192,David,Chandler,8512111185,1948-01-25,M,david.chandler@gmail.com,+270607092104,Eastern Cape,Durban,7991,0-100K,Self-employed,746,Capitec,Claremont
CUS43618,Julie,Hernandez,6102039085,1991-10-20,F,julie.hernandez@outlook.com,+270794072353,Mpumalanga,East London,4782,0-100K,Employed,702,Standard Bank,Umhlanga
CUS49701,Jeffrey,Knight,9308190088,1945-12-11,F,jeffrey.knight@gmail.com,+270791294354,Western Cape,Cape Town,5927,500K-1M,Retired,637,Capitec,Midrand
CUS84894,Seth,Turner,8202202083,1963-05-16,M,seth.turner@gmail.com,+270661605883,Eastern Cape,Kimberley,4881,0-100K,Self-employed,813,TymeBank,Digital
CUS24663,Chelsea,Vasquez,8112081189,1953-06-24,M,chelsea.vasquez@outlook.com,+270838098503,Limpopo,Cape Town,9986,100K-250K,Retired,842,Standard Bank,Rosebank
CUS12274,Charles,Torres,7906133086,1999-07-25,F,charles.torres@yahoo.com,+270685377682,North West,Cape Town,8164,0-100K,Employed,581,Nedbank,Rivonia
CUS30454,Donna,Dominguez,9204159080,1996-05-03,M,donna.dominguez@yahoo.com,+270609951263,Eastern Cape,Bloemfontein,3644,250K-500K,Student,599,Nedbank,V&A Waterfront
CUS32085,Stephen,Cooper,7111157088,2000-03-05,M,stephen.cooper@outlook.com,+270742097008,Free State,Cape Town,4556,500K-1M,Self-employed,349,ABSA,Sandton
CUS59761,Dana,Fitzgerald,9811181083,1990-09-09,M,dana.fitzgerald@yahoo.com,+270648732992,KwaZulu-Natal,Mbombela,2198,250K-500K,Retired,466,ABSA,Durban Central
CUS18384,Andrew,Chambers,8207174188,1994-02-25,F,andrew.chambers@yahoo.com,+270677291755,Northern Cape,Mbombela,9540,1M+,Retired,469,TymeBank,Digital
CUS65327,Brett,Baker,7212241185,1988-12-15,F,brett.baker@gmail.com,+270651118881,North West,Polokwane,4462,0-100K,Retired,357,Discovery Bank,Lynnwood
CUS10728,Hannah,Taylor,7305034186,2006-06-16,M,hannah.taylor@yahoo.com,+270828540337,KwaZulu-Natal,Cape Town,3357,1M+,Self-employed,723,FNB,Fourways
CUS40464,Steven,Grimes,8002196081,1974-01-10,F,steven.grimes@gmail.com,+270654298980,Limpopo,Cape Town,5348,250K-500K,Retired,559,Capitec,Midrand
CUS50936,David,Hanson,9809153086,1963-04-27,M,david.hanson@gmail.com,+270832109137,Free State,Kimberley,7548,250K-500K,Retired,481,Standard Bank,Brooklyn
CUS92853,Robert,Henderson,9110101187,1960-05-01,F,robert.henderson@outlook.com,+270768799512,Gauteng,Cape Town,4592,100K-250K,Self-employed,559,TymeBank,Digital
CUS94818,Andrea,Lopez,6501164180,1996-12-06,M,andrea.lopez@yahoo.com,+270735459296,KwaZulu-Natal,Mbombela,7022,0-100K,Student,437,FNB,Gateway
CUS16589,Emily,Parks,8309105089,1958-04-25,M,emily.parks@outlook.com,+270682809112,Northern Cape,Durban,4056,250K-500K,Student,327,FNB,Gateway
CUS90169,Robyn,Gonzalez,7802281188,1978-07-05,F,robyn.gonzalez@outlook.com,+270710195815,Gauteng,Mbombela,4282,250K-500K,Employed,367,Nedbank,Rivonia
CUS82547,Melissa,Collins,6810109083,1953-09-09,F,melissa.collins@gmail.com,+270675614935,Gauteng,Cape Town,4914,500K-1M,Retired,737,ABSA,Durban Central
CUS32676,Noah,Anderson,7206167082,1989-01-01,M,noah.anderson@outlook.com,+270812894426,Free State,Johannesburg,6707,250K-500K,Self-employed,330,TymeBank,Digital
CUS28725,Miranda,Hawkins,7605184087,1950-11-27,M,miranda.hawkins@yahoo.com,+270610689035,Gauteng,Kimberley,1368,0-100K,Retired,338,Discovery Bank,Sandton
CUS33449,Larry,Ho,6804133089,1988-05-17,F,larry.ho@gmail.com,+270631993496,KwaZulu-Natal,Durban,9833,250K-500K,Self-employed,364,ABSA,Durban Central
CUS40814,Charles,Davis,7901150085,1961-06-16,M,charles.davis@gmail.com,+270630791785,Free State,Mbombela,5060,1M+,Self-employed,376,Discovery Bank,Lynnwood
CUS10007,Samantha,Moore,8806139089,1958-01-05,F,samantha.moore@yahoo.com,+270629197053,Gauteng,Cape Town,3224,250K-500K,Self-employed,646,Standard Bank,Rosebank
CUS40108,Elizabeth,Booth,6508041086,1949-02-28,F,elizabeth.booth@gmail.com,+270660766606,Limpopo,Mbombela,9538,250K-500K,Self-employed,459,ABSA,Cape Town CBD
CUS67857,Jon,Price,6306059083,1996-10-15,F,jon.price@outlook.com,+270713840711,KwaZulu-Natal,Bloemfontein,9212,250K-500K,Employed,720,Capitec,Claremont
CUS16482,John,Webb,9702019087,1991-10-17,M,john.webb@yahoo.com,+270636433029,Mpumalanga,Johannesburg,8542,500K-1M,Retired,377,TymeBank,Digital
CUS82222,Joseph,Wright,8503236180,1975-01-12,M,joseph.wright@yahoo.com,+270631810003,North West,Polokwane,8266,0-100K,Self-employed,523,Capitec,Pinetown
CUS42653,Sierra,Pena,9009249087,1984-03-10,M,sierra.pena@gmail.com,+270788386876,Mpumalanga,Pretoria,5236,1M+,Student,664,TymeBank,Digital
CUS52729,Sarah,Henry,7206183183,1997-07-28,M,sarah.henry@gmail.com,+270769066793,Free State,Gqeberha,5028,100K-250K,Employed,830,Discovery Bank,Sea Point
CUS82891,Jaime,Williams,6006206081,1991-11-15,F,jaime.williams@outlook.com,+270621976157,Mpumalanga,Durban,2528,500K-1M,Student,650,TymeBank,Digital
CUS34017,Tammy,Reynolds,6004121086,1988-11-25,M,tammy.reynolds@gmail.com,+270711547470,Gauteng,Polokwane,9743,250K-500K,Retired,604,TymeBank,Digital
CUS91450,Joseph,Nielsen,8810023080,1989-12-14,M,joseph.nielsen@outlook.com,+270721729537,North West,Pretoria,9284,500K-1M,Retired,381,Discovery Bank,Sea Point
CUS14336,Marcus,Ball,6604186181,2005-08-25,F,marcus.ball@gmail.com,+270732294924,Northern Cape,Polokwane,8336,0-100K,Self-employed,682,Discovery Bank,Lynnwood
CUS10320,Kelly,Cobb,7312122080,1959-01-26,M,kelly.cobb@outlook.com,+270846912764,Northern Cape,East London,7682,1M+,Student,745,TymeBank,Digital
CUS23495,Dorothy,Dixon,6108249185,1965-02-16,M,dorothy.dixon@outlook.com,+270842398901,North West,Pretoria,1269,100K-250K,Student,555,ABSA,Pretoria Central
CUS30971,Tracey,Nguyen,7008125087,1951-03-07,F,tracey.nguyen@yahoo.com,+270639435689,Free State,Polokwane,6365,500K-1M,Retired,388,TymeBank,Digital
CUS20121,Nicholas,Mclean,7307093188,1961-04-01,F,nicholas.mclean@gmail.com,+270622705499,Gauteng,Kimberley,4068,0-100K,Student,466,TymeBank,Digital
CUS60680,Susan,Smith,7103208181,1987-09-17,M,susan.smith@yahoo.com,+270746662088,Gauteng,Bloemfontein,9283,250K-500K,Retired,593,ABSA,Cape Town CBD
CUS25062,Angela,Sanders,6901034184,1988-01-09,M,angela.sanders@outlook.com,+270642895761,Limpopo,Cape Town,9534,0-100K,Self-employed,696,Standard Bank,Umhlanga
CUS58674,Timothy,Robinson,7702014184,1969-09-06,F,timothy.robinson@gmail.com,+270642163911,Free State,Gqeberha,8722,100K-250K,Self-employed,476,Discovery Bank,Sea Point
CUS49132,Tammy,Craig,8107263085,1940-03-08,M,tammy.craig@outlook.com,+270670971651,KwaZulu-Natal,Pretoria,1890,100K-250K,Self-employed,312,FNB,Fourways
CUS88577,Jeffrey,Hale,9911267083,1963-06-29,F,jeffrey.hale@outlook.com,+270655601078,Eastern Cape,Cape Town,9350,500K-1M,Student,585,Discovery Bank,Sea Point
CUS27226,Sandra,Mitchell,6105010080,1957-07-20,M,sandra.mitchell@gmail.com,+270661556524,North West,Gqeberha,9905,0-100K,Student,651,Discovery Bank,Sea Point
CUS72089,Mark,King,6310187186,1958-06-27,M,mark.king@yahoo.com,+270761926738,Free State,Polokwane,5433,500K-1M,Student,749,ABSA,Durban Central
CUS44230,Natalie,Hansen,7109288186,1949-12-30,M,natalie.hansen@outlook.com,+270781641010,Free State,Polokwane,7718,500K-1M,Self-employed,669,TymeBank,Digital
CUS91970,Lisa,Smith,6103198180,2004-11-21,M,lisa.smith@yahoo.com,+270843053995,Northern Cape,Kimberley,6006,500K-1M,Retired,582,ABSA,Cape Town CBD
CUS88703,Adam,Garcia,6205154185,1980-09-21,F,adam.garcia@outlook.com,+270646027667,KwaZulu-Natal,Polokwane,7527,1M+,Retired,610,ABSA,Pretoria Central
CUS26612,Stephanie,Garza,6101272180,1962-05-27,M,stephanie.garza@outlook.com,+270761674610,Northern Cape,Mbombela,1009,250K-500K,Employed,830,ABSA,Sandton
CUS71721,Erika,Chavez,6408137184,1982-04-17,M,erika.chavez@yahoo.com,+270605356249,Eastern Cape,Polokwane,3404,0-100K,Self-employed,816,Standard Bank,Century City
CUS90744,Amy,Edwards,7511155189,1991-02-15,M,amy.edwards@outlook.com,+270603096235,Limpopo,East London,4017,500K-1M,Employed,568,Nedbank,Rivonia
CUS58631,Rebecca,Fisher,7805084088,1948-12-30,F,rebecca.fisher@gmail.com,+270649135612,Eastern Cape,Polokwane,3726,0-100K,Student,838,TymeBank,Digital
CUS68121,Cathy,Evans,9507047081,1998-03-02,F,cathy.evans@gmail.com,+270667100726,Northern Cape,Pretoria,1863,250K-500K,Student,822,Nedbank,Musgrave
CUS82497,Kevin,Hart,6703261082,1977-06-04,M,kevin.hart@outlook.com,+270657401173,Limpopo,Kimberley,8497,100K-250K,Self-employed,333,Capitec,Pinetown
CUS53150,Reginald,Pratt,8703039180,1938-12-09,F,reginald.pratt@outlook.com,+270664719381,North West,Kimberley,1578,250K-500K,Self-employed,336,Discovery Bank,Ballito
CUS32840,Kenneth,Anderson,8412150085,1977-03-28,M,kenneth.anderson@outlook.com,+270632067548,North West,Mbombela,3848,100K-250K,Employed,355,ABSA,Pretoria Central
CUS71461,Kim,Roberts,6801077184,1986-07-12,F,kim.roberts@gmail.com,+270768308717,Limpopo,Johannesburg,9063,0-100K,Retired,558,TymeBank,Digital
CUS70968,Monique,Garcia,9306246087,1997-11-14,M,monique.garcia@outlook.com,+270662041948,Free State,Bloemfontein,9785,0-100K,Student,372,TymeBank,Digital
CUS52100,Johnny,Neal,6204026085,1949-02-04,M,johnny.neal@yahoo.com,+270612639088,Mpumalanga,Bloemfontein,7059,0-100K,Student,553,Discovery Bank,Sea Point
CUS76132,Laura,Phillips,7304276089,1980-05-16,M,laura.phillips@yahoo.com,+270619420883,Limpopo,Mbombela,7280,1M+,Retired,540,ABSA,Pretoria Central
CUS79745,Daniel,Carroll,8105019183,1974-02-20,F,daniel.carroll@outlook.com,+270649263048,KwaZulu-Natal,Cape Town,3140,100K-250K,Employed,393,Discovery Bank,Ballito
CUS22875,Michael,Gonzalez,9312152085,1987-03-26,M,michael.gonzalez@gmail.com,+270836616203,Free State,East London,1793,1M+,Student,717,Standard Bank,Brooklyn
CUS72009,Joseph,Stewart,9109177188,1981-04-08,M,joseph.stewart@gmail.com,+270680361295,Mpumalanga,Gqeberha,3710,100K-250K,Student,385,Nedbank,V&A Waterfront
CUS17859,Linda,Parker,7804282088,1951-03-07,M,linda.parker@gmail.com,+270741781446,Limpopo,Mbombela,5422,1M+,Employed,413,Nedbank,Rivonia
CUS20738,Deborah,Williams,8102169185,1939-12-29,F,deborah.williams@yahoo.com,+270662551082,Northern Cape,Kimberley,8920,500K-1M,Retired,704,Nedbank,V&A Waterfront
CUS55737,John,Chambers,8212231081,1992-11-04,M,john.chambers@gmail.com,+270675226287,Western Cape,Durban,4403,1M+,Self-employed,479,Standard Bank,Brooklyn
CUS62070,Amy,Edwards,6809099181,1944-04-06,F,amy.edwards@gmail.com,+270734601601,Mpumalanga,Pretoria,2242,0-100K,Employed,733,Discovery Bank,Ballito
CUS86112,Lauren,Johns,9307199185,2005-02-16,F,lauren.johns@outlook.com,+270602604959,Free State,Polokwane,3903,250K-500K,Student,784,ABSA,Pretoria Central
CUS27897,Matthew,Hale,7911037086,1959-08-15,M,matthew.hale@gmail.com,+270654155277,KwaZulu-Natal,Pretoria,9527,500K-1M,Student,802,Nedbank,Hatfield
CUS99720,Andrew,Colon,7511151080,2003-07-17,M,andrew.colon@yahoo.com,+270668468181,Limpopo,Mbombela,2927,1M+,Retired,503,Capitec,Pinetown
CUS87219,Nathan,Bell,7802082186,1949-02-27,M,nathan.bell@gmail.com,+270602672875,Mpumalanga,Durban,6186,500K-1M,Employed,719,Discovery Bank,Lynnwood
CUS28300,Jon,Lawson,8607156187,1956-12-27,M,jon.lawson@yahoo.com,+270749964563,Free State,Bloemfontein,6065,100K-250K,Employed,578,Standard Bank,Umhlanga
CUS60798,Timothy,Gomez,8105275188,2000-09-09,F,timothy.gomez@outlook.com,+270786980242,Mpumalanga,Polokwane,2583,1M+,Employed,330,Capitec,Midrand
CUS91772,William,Brown,7803115185,2003-01-28,F,william.brown@outlook.com,+270714107664,KwaZulu-Natal,Mbombela,3049,1M+,Employed,797,ABSA,Durban Central
CUS40389,Megan,Reyes,8811155082,1971-11-02,F,megan.reyes@gmail.com,+270634220666,Northern Cape,Durban,2528,1M+,Self-employed,558,TymeBank,Digital
CUS62247,Laura,Molina,6811273189,1953-02-12,M,laura.molina@yahoo.com,+270734091603,Free State,Johannesburg,7879,0-100K,Employed,448,ABSA,Durban Central
CUS63066,Thomas,Gomez,7410037189,1998-07-22,M,thomas.gomez@gmail.com,+270834837452,Free State,Cape Town,4301,500K-1M,Employed,547,Discovery Bank,Ballito
CUS57082,David,Dillon,6503156080,1960-10-14,F,david.dillon@gmail.com,+270739227662,Limpopo,Bloemfontein,6260,250K-500K,Retired,502,ABSA,Sandton
CUS34859,Nicholas,Parrish,9209173087,1954-04-03,F,nicholas.parrish@gmail.com,+270762288761,North West,Cape Town,4703,0-100K,Retired,511,FNB,Menlyn
CUS23229,David,Ellison,6301188182,2004-07-17,M,david.ellison@gmail.com,+270718475582,Gauteng,Bloemfontein,1562,0-100K,Self-employed,403,TymeBank,Digital
CUS27029,Maria,Zavala,6803111089,1946-07-24,F,maria.zavala@outlook.com,+270762880173,North West,East London,4266,100K-250K,Self-employed,618,Discovery Bank,Sea Point
CUS89988,David,Mendoza,8810230086,1988-01-24,M,david.mendoza@outlook.com,+270734627592,Eastern Cape,Johannesburg,5414,0-100K,Self-employed,312,TymeBank,Digital
CUS94692,Vincent,Blake,6104043089,1965-02-01,F,vincent.blake@outlook.com,+270847162783,North West,Mbombela,6369,100K-250K,Employed,697,Capitec,Midrand
CUS75283,Kristin,Edwards,8403270189,1947-04-28,F,kristin.edwards@yahoo.com,+270634207262,Northern Cape,East London,1423,500K-1M,Employed,488,Capitec,Claremont
CUS16498,Christopher,Jones,7711153080,1979-01-06,F,christopher.jones@outlook.com,+270823643684,Mpumalanga,Johannesburg,9109,250K-500K,Student,429,Capitec,Centurion
CUS97896,Todd,Wood,7603128186,1997-03-01,F,todd.wood@yahoo.com,+270788561121,Limpopo,Bloemfontein,8822,0-100K,Student,631,Capitec,Midrand
CUS85546,Denise,Rollins,9306025182,2006-10-21,F,denise.rollins@gmail.com,+270681705980,KwaZulu-Natal,Durban,2569,1M+,Retired,600,ABSA,Sandton
CUS73255,Jessica,Kirby,7609040185,1964-11-25,M,jessica.kirby@yahoo.com,+270837359263,North West,Johannesburg,4337,100K-250K,Self-employed,568,Standard Bank,Century City
CUS73672,Christopher,Kidd,9503174183,1985-10-26,F,christopher.kidd@outlook.com,+270670137008,Gauteng,Gqeberha,2888,100K-250K,Self-employed,728,TymeBank,Digital
CUS10370,Darren,Palmer,7112157189,2006-06-17,M,darren.palmer@yahoo.com,+270651266885,Eastern Cape,Cape Town,1215,100K-250K,Employed,576,Nedbank,V&A Waterfront
CUS10465,Christina,Brown,9301125181,1977-08-01,F,christina.brown@outlook.com,+270652678800,Northern Cape,Kimberley,6556,0-100K,Employed,833,Capitec,Centurion
CUS16907,Kenneth,Jefferson,9707153181,1991-03-23,M,kenneth.jefferson@outlook.com,+270769628957,Western Cape,Pretoria,7855,100K-250K,Retired,756,Discovery Bank,Sandton
CUS63912,Eric,Clark,6908061182,1971-05-07,M,eric.clark@gmail.com,+270664437636,Mpumalanga,Bloemfontein,2917,500K-1M,Employed,793,Standard Bank,Brooklyn
CUS28501,David,Wilson,9810096088,1953-09-26,F,david.wilson@gmail.com,+270741108402,North West,Kimberley,4157,500K-1M,Employed,604,FNB,Tyger Valley
CUS96597,Jeffrey,Park,9405076085,1998-04-05,M,jeffrey.park@yahoo.com,+270767147127,KwaZulu-Natal,Bloemfontein,4424,1M+,Student,507,ABSA,Cape Town CBD
CUS41505,Kathleen,Johnson,7709111083,1963-12-06,M,kathleen.johnson@outlook.com,+270789324003,Free State,Johannesburg,4816,0-100K,Employed,844,Capitec,Claremont
CUS20648,Nicole,Baker,8302249186,2000-08-05,F,nicole.baker@outlook.com,+270657908770,Mpumalanga,Kimberley,3978,1M+,Employed,794,Capitec,Claremont
CUS45618,Jennifer,Williams,7609126087,2005-11-12,M,jennifer.williams@outlook.com,+270780403761,North West,Mbombela,6911,500K-1M,Retired,700,FNB,Menlyn
CUS84098,Destiny,Harris,9805021185,1942-06-17,F,destiny.harris@outlook.com,+270715506949,Gauteng,East London,4552,0-100K,Retired,322,Discovery Bank,Sea Point
CUS82582,Vincent,Johnson,8210142080,1950-07-27,M,vincent.johnson@yahoo.com,+270811606691,Free State,Durban,6277,500K-1M,Student,833,TymeBank,Digital
CUS96361,Jennifer,Rogers,7407122180,1969-09-11,M,jennifer.rogers@outlook.com,+270659685946,Limpopo,Johannesburg,9999,100K-250K,Employed,591,Nedbank,Musgrave
CUS30027,Brian,Juarez,9411055087,1982-09-13,F,brian.juarez@gmail.com,+270615970076,North West,Cape Town,7184,0-100K,Self-employed,621,Standard Bank,Rosebank
CUS21335,Jamie,Phillips,8507027180,1967-07-23,M,jamie.phillips@yahoo.com,+270819416482,Free State,Polokwane,5209,500K-1M,Employed,576,Standard Bank,Umhlanga
CUS11142,Brian,Ware,8901043185,1996-08-27,M,brian.ware@gmail.com,+270795249867,North West,Cape Town,7468,100K-250K,Student,487,Capitec,Pinetown
CUS89787,Jenna,Cooper,6811184088,1962-08-26,F,jenna.cooper@yahoo.com,+270849068355,Limpopo,Mbombela,7810,100K-250K,Employed,823,Discovery Bank,Ballito
CUS94442,Duane,Schwartz,8612127184,1966-05-02,F,duane.schwartz@outlook.com,+270784436302,Eastern Cape,Pretoria,6610,250K-500K,Retired,657,Nedbank,Musgrave
CUS64690,Sharon,Bennett,6305086086,1950-07-04,M,sharon.bennett@yahoo.com,+270658683644,Free State,Kimberley,6285,0-100K,Employed,307,TymeBank,Digital
CUS49488,Dana,Sullivan,8107078080,1987-04-20,M,dana.sullivan@yahoo.com,+270765854477,Western Cape,East London,5130,250K-500K,Self-employed,524,Standard Bank,Century City
CUS55574,Jaime,Mendoza,7708135186,1964-11-02,M,jaime.mendoza@gmail.com,+270719941740,Western Cape,East London,7690,500K-1M,Student,838,Nedbank,V&A Waterfront
CUS71455,Nicole,Wade,6606175180,1976-01-05,M,nicole.wade@yahoo.com,+270735711765,KwaZulu-Natal,East London,1477,250K-500K,Student,846,FNB,Fourways
CUS78020,Jennifer,Wallace,7503238188,1947-03-10,F,jennifer.wallace@yahoo.com,+270608936293,Western Cape,Polokwane,9005,250K-500K,Employed,479,Discovery Bank,Lynnwood
CUS96957,Stephen,Mata,8404267188,1967-12-23,M,stephen.mata@outlook.com,+270648249123,Gauteng,Gqeberha,5739,250K-500K,Retired,562,Standard Bank,Century City
CUS23407,Jamie,Davies,8807234188,1984-05-07,M,jamie.davies@yahoo.com,+270608324705,Eastern Cape,Johannesburg,9038,100K-250K,Retired,532,ABSA,Durban Central
CUS95673,Alexander,Brooks,7912071182,1976-08-06,M,alexander.brooks@gmail.com,+270821291528,Northern Cape,Mbombela,7600,1M+,Employed,723,TymeBank,Digital
CUS13874,Ronald,Morales,6907213082,1959-02-27,F,ronald.morales@yahoo.com,+270719329240,Mpumalanga,Polokwane,3206,250K-500K,Employed,442,Standard Bank,Brooklyn
