account_id,customer_id,bank_name,branch_name,bank_code,swift_code,account_type,opening_date,balance,status,interest_rate,currency
ACC111219,CUS11519,FNB,Gateway,250655,FIRNZAJJ,Home Loan,2024-09-24,832320.79,Active,6.67,ZAR
ACC558669,CUS93320,Nedbank,Rivonia,198765,NEDSZAJJ,Credit Card,2021-10-12,887051.87,Active,5.77,ZAR
ACC829131,CUS93320,FNB,Tyger Valley,250655,FIRNZAJJ,Current,2023-07-25,822723.47,Dormant,8.84,ZAR
ACC642182,CUS69283,Nedbank,Rivonia,198765,NEDSZAJJ,Home Loan,2024-04-01,615767.34,Active,5.88,ZAR
ACC163596,CUS69283,Nedbank,V&A Waterfront,198765,NEDSZAJJ,Current,2022-07-17,813806.33,Dormant,7.96,ZAR
ACC321270,CUS69283,Discovery Bank,Sea Point,679000,DISCJJ,Home Loan,2022-05-02,164997.83,Active,10.1,ZAR
ACC316048,CUS65719,Standard Bank,Rosebank,051001,SBZAZAJJ,Savings,2024-03-02,378892.13,Closed,10.59,ZAR
ACC467561,CUS65719,ABSA,Cape Town CBD,632005,ABSAZAJJ,Home Loan,2022-12-30,919735.68,Active,4.77,ZAR
ACC218467,CUS65719,Discovery Bank,Ballito,679000,DISCJJ,Investment,2021-12-23,125543.54,Active,9.84,ZAR
ACC295857,CUS93097,Discovery Bank,Ballito,679000,DISCJJ,Home Loan,2021-09-19,662669.49,Active,7.34,ZAR
ACC963111,CUS93097,Capitec,Midrand,470010,CABLZAJJ,Home Loan,2021-05-08,397100.17,Active,5.62,ZAR
ACC364470,CUS93097,ABSA,Pretoria Central,632005,ABSAZAJJ,Credit Card,2024-02-01,766674.98,Active,4.51,ZAR
ACC911777,CUS93097,Capitec,Claremont,470010,CABLZAJJ,Home Loan,2022-06-15,935692.93,Dormant,10.6,ZAR
ACC626397,CUS20426,FNB,Menlyn,250655,FIRNZAJJ,Credit Card,2023-05-25,822172.6,Active,6.45,ZAR
ACC356901,CUS20426,Nedbank,Hatfield,198765,NEDSZAJJ,Current,2020-10-31,910406.21,Active,5.92,ZAR
ACC709487,CUS20426,FNB,Menlyn,250655,FIRNZAJJ,Home Loan,2021-08-25,914092.25,Active,6.7,ZAR
ACC533348,CUS46355,TymeBank,Digital,678910,TYMEZAJJ,Savings,2021-04-12,535843.1,Dormant,4.92,ZAR
ACC282610,CUS46355,FNB,Gateway,250655,FIRNZAJJ,Investment,2023-03-10,239706.92,Active,4.24,ZAR
ACC778698,CUS46355,TymeBank,Digital,678910,TYMEZAJJ,Investment,2023-01-16,608500.24,Active,4.18,ZAR
ACC366743,CUS46355,Standard Bank,Umhlanga,051001,SBZAZAJJ,Savings,2024-01-01,763576.22,Active,5.79,ZAR
ACC505073,CUS21576,Discovery Bank,Lynnwood,679000,DISCJJ,Current,2020-11-29,622922.24,Active,3.88,ZAR
ACC495296,CUS21576,Nedbank,Musgrave,198765,NEDSZAJJ,Home Loan,2020-04-24,398398.41,Active,11.58,ZAR
ACC908306,CUS21576,FNB,Gateway,250655,FIRNZAJJ,Current,2020-03-01,195692.44,Closed,7.7,ZAR
ACC694703,CUS49756,Standard Bank,Umhlanga,051001,SBZAZAJJ,Investment,2023-11-02,516982.98,Active,5.51,ZAR
ACC901469,CUS49756,Capitec,Pinetown,470010,CABLZAJJ,Credit Card,2023-12-27,733031.41,Dormant,11.97,ZAR
ACC503186,CUS49756,Standard Bank,Umhlanga,051001,SBZAZAJJ,Current,2021-07-13,594406.77,Active,11.88,ZAR
ACC990833,CUS49756,Capitec,Claremont,470010,CABLZAJJ,Savings,2021-02-21,625335.62,Active,10.97,ZAR
ACC193914,CUS30492,Standard Bank,Century City,051001,SBZAZAJJ,Home Loan,2023-06-10,15527.38,Closed,8.71,ZAR
ACC512769,CUS30492,FNB,Tyger Valley,250655,FIRNZAJJ,Savings,2021-11-18,48421.6,Active,10.7,ZAR
ACC432978,CUS30492,Discovery Bank,Sandton,679000,DISCJJ,Investment,2024-01-21,40478.29,Dormant,8.7,ZAR
ACC334514,CUS94053,Nedbank,Musgrave,198765,NEDSZAJJ,Credit Card,2024-07-05,739128.26,Active,4.84,ZAR
ACC195849,CUS94053,FNB,Menlyn,250655,FIRNZAJJ,Current,2024-06-18,322716.44,Active,3.81,ZAR
ACC442571,CUS94053,Discovery Bank,Lynnwood,679000,DISCJJ,Current,2022-05-25,362328.76,Active,5.94,ZAR
ACC205060,CUS16214,Discovery Bank,Ballito,679000,DISCJJ,Credit Card,2020-09-15,157423.52,Active,6.0,ZAR
ACC146360,CUS92273,Discovery Bank,Sea Point,679000,DISCJJ,Home Loan,2023-06-12,841726.44,Active,4.18,ZAR
ACC299625,CUS92273,Capitec,Midrand,470010,CABLZAJJ,Current,2024-10-02,864436.55,Active,5.13,ZAR
ACC685167,CUS92273,Capitec,Centurion,470010,CABLZAJJ,Investment,2024-07-10,615795.53,Closed,11.94,ZAR
ACC433782,CUS92273,Nedbank,Musgrave,198765,NEDSZAJJ,Current,2022-02-16,142975.29,Active,7.81,ZAR
ACC507565,CUS42038,ABSA,Sandton,632005,ABSAZAJJ,Savings,2024-08-23,554811.14,Dormant,11.7,ZAR
ACC885878,CUS42038,FNB,Tyger Valley,250655,FIRNZAJJ,Savings,2023-03-26,461792.24,Active,5.07,ZAR
ACC619087,CUS42038,Nedbank,Rivonia,198765,NEDSZAJJ,Savings,2022-02-11,214248.29,Dormant,4.83,ZAR
ACC281287,CUS42038,Capitec,Pinetown,470010,CABLZAJJ,Investment,2022-07-03,239649.13,Active,11.76,ZAR
ACC459693,CUS82019,Discovery Bank,Lynnwood,679000,DISCJJ,Investment,2021-10-29,940367.35,Active,5.16,ZAR
ACC282075,CUS33049,Nedbank,Musgrave,198765,NEDSZAJJ,Home Loan,2020-08-06,683040.14,Dormant,5.25,ZAR
ACC397123,CUS33049,ABSA,Pretoria Central,632005,ABSAZAJJ,Credit Card,2024-08-03,152080.77,Active,10.72,ZAR
ACC453728,CUS33049,ABSA,Cape Town CBD,632005,ABSAZAJJ,Savings,2022-12-31,78094.82,Active,5.2,ZAR
ACC329280,CUS33049,Standard Bank,Brooklyn,051001,SBZAZAJJ,Investment,2024-10-07,723778.8,Dormant,3.63,ZAR
ACC183747,CUS91585,Nedbank,Musgrave,198765,NEDSZAJJ,Current,2022-05-23,566743.06,Closed,4.96,ZAR
ACC531737,CUS91585,ABSA,Sandton,632005,ABSAZAJJ,Home Loan,2023-02-13,159120.07,Closed,9.58,ZAR
ACC992529,CUS97269,TymeBank,Digital,678910,TYMEZAJJ,Home Loan,2021-08-03,564438.06,Active,8.17,ZAR
ACC732033,CUS52973,Standard Bank,Century City,051001,SBZAZAJJ,Home Loan,2021-02-09,423240.34,Closed,4.29,ZAR
ACC356555,CUS52973,Standard Bank,Rosebank,051001,SBZAZAJJ,Home Loan,2024-10-11,455589.65,Active,9.37,ZAR
ACC737974,CUS52973,TymeBank,Digital,678910,TYMEZAJJ,Current,2023-01-01,807461.32,Closed,6.91,ZAR
ACC621339,CUS52973,Nedbank,Hatfield,198765,NEDSZAJJ,Home Loan,2023-07-01,404514.53,Dormant,9.11,ZAR
ACC676886,CUS45907,FNB,Fourways,250655,FIRNZAJJ,Current,2021-07-08,28170.43,Active,4.13,ZAR
ACC596986,CUS45907,TymeBank,Digital,678910,TYMEZAJJ,Current,2024-06-19,754481.31,Active,6.79,ZAR
ACC331463,CUS45907,Capitec,Midrand,470010,CABLZAJJ,Home Loan,2022-06-28,576609.63,Active,5.2,ZAR
ACC706103,CUS45907,Standard Bank,Century City,051001,SBZAZAJJ,Savings,2022-04-13,654587.07,Active,9.64,ZAR
ACC371702,CUS17843,FNB,Menlyn,250655,FIRNZAJJ,Investment,2023-12-27,1414.99,Active,4.62,ZAR
ACC119281,CUS18714,Discovery Bank,Lynnwood,679000,DISCJJ,Savings,2022-02-07,54252.96,Active,5.56,ZAR
ACC934013,CUS18714,ABSA,Cape Town CBD,632005,ABSAZAJJ,Investment,2023-05-31,662048.82,Dormant,11.35,ZAR
ACC361474,CUS23583,FNB,Gateway,250655,FIRNZAJJ,Savings,2022-09-17,566202.85,Active,11.05,ZAR
ACC894857,CUS23583,Nedbank,Musgrave,198765,NEDSZAJJ,Investment,2024-07-27,749359.1,Dormant,4.25,ZAR
ACC975339,CUS23583,Standard Bank,Century City,051001,SBZAZAJJ,Investment,2023-11-25,235285.75,Active,8.34,ZAR
ACC949839,CUS23583,ABSA,Durban Central,632005,ABSAZAJJ,Current,2024-09-21,137697.13,Dormant,4.29,ZAR
ACC307939,CUS58578,Capitec,Claremont,470010,CABLZAJJ,Credit Card,2022-04-29,250101.08,Closed,10.87,ZAR
ACC772863,CUS37137,Nedbank,Rivonia,198765,NEDSZAJJ,Investment,2022-05-03,338958.06,Dormant,8.91,ZAR
ACC557835,CUS37137,Standard Bank,Umhlanga,051001,SBZAZAJJ,Investment,2023-05-12,378354.32,Active,10.98,ZAR
ACC590714,CUS58538,Discovery Bank,Lynnwood,679000,DISCJJ,Home Loan,2024-07-12,752561.59,Active,6.41,ZAR
ACC477695,CUS58538,FNB,Gateway,250655,FIRNZAJJ,Savings,2022-12-10,354873.47,Active,9.99,ZAR
ACC259178,CUS58538,Discovery Bank,Lynnwood,679000,DISCJJ,Savings,2021-10-28,447130.72,Active,6.48,ZAR
ACC285063,CUS66192,Capitec,Centurion,470010,CABLZAJJ,Home Loan,2020-02-09,303495.83,Active,9.57,ZAR
ACC548520,CUS66192,ABSA,Sandton,632005,ABSAZAJJ,Credit Card,2021-05-22,400239.15,Active,5.91,ZAR
ACC736531,CUS43618,ABSA,Sandton,632005,ABSAZAJJ,Credit Card,2022-03-11,68538.75,Closed,9.83,ZAR
ACC115890,CUS43618,Standard Bank,Rosebank,051001,SBZAZAJJ,Home Loan,2020-04-12,329092.32,Active,6.61,ZAR
ACC160254,CUS43618,ABSA,Sandton,632005,ABSAZAJJ,Current,2020-02-27,449239.91,Active,9.63,ZAR
ACC947235,CUS43618,Capitec,Centurion,470010,CABLZAJJ,Savings,2020-02-28,478949.25,Active,5.02,ZAR
ACC483963,CUS49701,TymeBank,Digital,678910,TYMEZAJJ,Savings,2022-04-30,439396.98,Active,8.97,ZAR
ACC219576,CUS49701,Discovery Bank,Ballito,679000,DISCJJ,Current,2023-04-08,722755.45,Active,10.44,ZAR
ACC595235,CUS84894,FNB,Tyger Valley,250655,FIRNZAJJ,Savings,2023-08-30,388027.4,Active,11.06,ZAR
ACC456821,CUS84894,Standard Bank,Brooklyn,051001,SBZAZAJJ,Investment,2023-03-24,955609.44,Active,10.19,ZAR
ACC982624,CUS84894,Standard Bank,Umhlanga,051001,SBZAZAJJ,Savings,2024-03-30,183330.83,Active,11.65,ZAR
ACC446910,CUS24663,ABSA,Cape Town CBD,632005,ABSAZAJJ,Home Loan,2022-12-31,716797.71,Active,10.53,ZAR
ACC817231,CUS24663,FNB,Fourways,250655,FIRNZAJJ,Home Loan,2024-10-29,745890.24,Active,7.94,ZAR
ACC315845,CUS24663,Standard Bank,Brooklyn,051001,SBZAZAJJ,Savings,2024-09-09,493073.01,Active,6.49,ZAR
ACC484230,CUS24663,Standard Bank,Rosebank,051001,SBZAZAJJ,Savings,2021-01-25,516687.82,Dormant,8.66,ZAR
ACC335429,CUS12274,FNB,Gateway,250655,FIRNZAJJ,Current,2022-09-30,338897.54,Active,9.54,ZAR
ACC465252,CUS12274,ABSA,Durban Central,632005,ABSAZAJJ,Home Loan,2020-03-28,642672.51,Dormant,4.11,ZAR
ACC688776,CUS12274,Capitec,Midrand,470010,CABLZAJJ,Current,2023-08-26,483432.31,Active,11.78,ZAR
ACC812667,CUS30454,Nedbank,Musgrave,198765,NEDSZAJJ,Savings,2021-09-07,20534.53,Active,9.53,ZAR
ACC128281,CUS30454,Standard Bank,Brooklyn,051001,SBZAZAJJ,Current,2023-08-07,808930.15,Dormant,3.89,ZAR
ACC337791,CUS32085,Capitec,Centurion,470010,CABLZAJJ,Credit Card,2024-02-15,16697.08,Dormant,4.39,ZAR
ACC306539,CUS59761,FNB,Tyger Valley,250655,FIRNZAJJ,Investment,2020-09-02,191669.78,Active,7.76,ZAR
ACC214630,CUS59761,Nedbank,Rivonia,198765,NEDSZAJJ,Home Loan,2022-02-27,333504.04,Closed,7.93,ZAR
ACC384890,CUS59761,Discovery Bank,Sandton,679000,DISCJJ,Credit Card,2020-10-18,79916.69,Dormant,11.46,ZAR
ACC116528,CUS59761,ABSA,Pretoria Central,632005,ABSAZAJJ,Home Loan,2022-05-06,7649.75,Dormant,4.75,ZAR
ACC909212,CUS18384,ABSA,Pretoria Central,632005,ABSAZAJJ,Credit Card,2020-11-01,580676.24,Closed,6.39,ZAR
ACC807943,CUS18384,Discovery Bank,Lynnwood,679000,DISCJJ,Home Loan,2024-03-17,885719.5,Active,6.17,ZAR
ACC125568,CUS18384,Nedbank,Hatfield,198765,NEDSZAJJ,Investment,2020-01-26,515153.14,Closed,11.02,ZAR
ACC936369,CUS18384,Nedbank,Rivonia,198765,NEDSZAJJ,Savings,2022-12-24,452494.33,Closed,10.82,ZAR
ACC818889,CUS65327,FNB,Menlyn,250655,FIRNZAJJ,Home Loan,2020-11-04,940210.46,Active,4.06,ZAR
ACC520750,CUS65327,Nedbank,V&A Waterfront,198765,NEDSZAJJ,Home Loan,2022-11-30,351851.06,Active,9.83,ZAR
ACC681551,CUS65327,Nedbank,Hatfield,198765,NEDSZAJJ,Investment,2023-01-18,394521.15,Dormant,9.37,ZAR
ACC295097,CUS10728,FNB,Menlyn,250655,FIRNZAJJ,Home Loan,2023-12-28,548451.88,Dormant,9.19,ZAR
ACC163851,CUS10728,FNB,Fourways,250655,FIRNZAJJ,Credit Card,2021-12-28,68841.25,Active,7.63,ZAR
ACC765176,CUS10728,Nedbank,Hatfield,198765,NEDSZAJJ,Investment,2024-08-27,358895.25,Dormant,6.68,ZAR
ACC819029,CUS10728,Capitec,Pinetown,470010,CABLZAJJ,Investment,2020-07-15,901914.5,Active,3.66,ZAR
ACC904705,CUS40464,FNB,Menlyn,250655,FIRNZAJJ,Current,2020-03-16,236467.63,Closed,9.14,ZAR
ACC330214,CUS50936,FNB,Tyger Valley,250655,FIRNZAJJ,Savings,2024-08-27,267854.55,Active,10.81,ZAR
ACC606533,CUS50936,Standard Bank,Brooklyn,051001,SBZAZAJJ,Home Loan,2022-10-12,910277.27,Dormant,8.42,ZAR
ACC582461,CUS92853,Discovery Bank,Sandton,679000,DISCJJ,Home Loan,2022-02-27,66529.15,Closed,5.02,ZAR
ACC552716,CUS94818,Discovery Bank,Ballito,679000,DISCJJ,Home Loan,2022-01-30,950275.49,Active,9.5,ZAR
ACC941192,CUS94818,TymeBank,Digital,678910,TYMEZAJJ,Credit Card,2020-11-26,895933.09,Active,5.47,ZAR
ACC660758,CUS94818,TymeBank,Digital,678910,TYMEZAJJ,Investment,2024-06-11,338663.37,Closed,6.03,ZAR
ACC767183,CUS94818,Standard Bank,Brooklyn,051001,SBZAZAJJ,Savings,2022-10-08,117098.42,Closed,8.78,ZAR
ACC273993,CUS16589,ABSA,Pretoria Central,632005,ABSAZAJJ,Investment,2021-09-26,399142.06,Active,4.29,ZAR
ACC259194,CUS16589,Discovery Bank,Ballito,679000,DISCJJ,Home Loan,2023-08-14,370197.49,Dormant,10.67,ZAR
ACC182582,CUS16589,TymeBank,Digital,678910,TYMEZAJJ,Investment,2021-04-07,186183.39,Active,11.53,ZAR
ACC905610,CUS16589,Standard Bank,Century City,051001,SBZAZAJJ,Credit Card,2023-10-06,149470.39,Active,4.64,ZAR
ACC330238,CUS90169,TymeBank,Digital,678910,TYMEZAJJ,Investment,2024-01-04,14077.28,Active,5.8,ZAR
ACC159282,CUS82547,Discovery Bank,Ballito,679000,DISCJJ,Current,2020-12-07,870263.91,Closed,6.72,ZAR
ACC290022,CUS82547,Capitec,Claremont,470010,CABLZAJJ,Investment,2021-09-09,461413.7,Active,4.74,ZAR
ACC634767,CUS82547,TymeBank,Digital,678910,TYMEZAJJ,Investment,2023-07-24,374615.62,Closed,6.19,ZAR
ACC236709,CUS82547,Nedbank,V&A Waterfront,198765,NEDSZAJJ,Savings,2022-04-30,511346.39,Active,8.39,ZAR
ACC881145,CUS32676,FNB,Gateway,250655,FIRNZAJJ,Savings,2021-06-06,653081.05,Active,10.74,ZAR
ACC289918,CUS32676,FNB,Tyger Valley,250655,FIRNZAJJ,Investment,2020-05-25,815737.64,Active,5.7,ZAR
ACC775210,CUS32676,Nedbank,V&A Waterfront,198765,NEDSZAJJ,Credit Card,2022-11-16,418254.67,Active,6.87,ZAR
ACC526293,CUS28725,Capitec,Pinetown,470010,CABLZAJJ,Investment,2023-12-13,980695.18,Dormant,7.06,ZAR
ACC586691,CUS28725,Nedbank,Rivonia,198765,NEDSZAJJ,Investment,2022-03-29,420310.34,Active,4.0,ZAR
ACC303180,CUS28725,Nedbank,Musgrave,198765,NEDSZAJJ,Investment,2023-10-15,626635.79,Active,11.68,ZAR
ACC394794,CUS28725,TymeBank,Digital,678910,TYMEZAJJ,Current,2024-07-06,21797.97,Active,6.96,ZAR
ACC232494,CUS33449,Discovery Bank,Ballito,679000,DISCJJ,Home Loan,2021-07-23,955363.91,Active,6.09,ZAR
ACC860458,CUS40814,TymeBank,Digital,678910,TYMEZAJJ,Home Loan,2022-10-01,299392.3,Active,4.17,ZAR
ACC409756,CUS10007,ABSA,Sandton,632005,ABSAZAJJ,Credit Card,2021-06-09,118204.11,Active,10.29,ZAR
ACC534151,CUS10007,Nedbank,Hatfield,198765,NEDSZAJJ,Home Loan,2023-12-16,670021.17,Dormant,3.91,ZAR
ACC857989,CUS40108,Capitec,Claremont,470010,CABLZAJJ,Investment,2021-07-01,98601.91,Closed,6.51,ZAR
ACC235966,CUS40108,Nedbank,Musgrave,198765,NEDSZAJJ,Current,2021-07-05,885427.21,Dormant,6.93,ZAR
ACC211510,CUS40108,Capitec,Pinetown,470010,CABLZAJJ,Credit Card,2024-02-12,383226.25,Active,10.89,ZAR
ACC284703,CUS67857,Standard Bank,Century City,051001,SBZAZAJJ,Savings,2021-09-16,7422.57,Active,3.91,ZAR
ACC882997,CUS67857,Discovery Bank,Sandton,679000,DISCJJ,Credit Card,2021-12-27,542380.15,Active,10.14,ZAR
ACC395995,CUS67857,FNB,Gateway,250655,FIRNZAJJ,Savings,2024-08-01,812345.33,Active,10.66,ZAR
ACC125791,CUS16482,FNB,Gateway,250655,FIRNZAJJ,Investment,2022-12-23,62690.53,Dormant,4.91,ZAR
ACC407922,CUS16482,Standard Bank,Century City,051001,SBZAZAJJ,Investment,2022-08-20,59794.31,Active,10.68,ZAR
ACC124883,CUS82222,Standard Bank,Umhlanga,051001,SBZAZAJJ,Current,2024-09-23,848335.02,Active,3.87,ZAR
ACC401239,CUS42653,Nedbank,V&A Waterfront,198765,NEDSZAJJ,Savings,2020-07-03,689455.13,Dormant,9.49,ZAR
ACC757456,CUS52729,TymeBank,Digital,678910,TYMEZAJJ,Home Loan,2021-09-28,446766.19,Closed,5.74,ZAR
ACC866836,CUS52729,FNB,Tyger Valley,250655,FIRNZAJJ,Home Loan,2020-05-26,933969.01,Closed,4.6,ZAR
ACC150192,CUS82891,FNB,Gateway,250655,FIRNZAJJ,Savings,2021-08-12,814082.04,Active,4.42,ZAR
ACC820853,CUS82891,ABSA,Durban Central,632005,ABSAZAJJ,Home Loan,2020-04-18,672070.55,Dormant,11.23,ZAR
ACC538175,CUS34017,ABSA,Cape Town CBD,632005,ABSAZAJJ,Current,2024-06-13,892106.65,Active,3.56,ZAR
ACC626651,CUS34017,Capitec,Claremont,470010,CABLZAJJ,Home Loan,2022-03-25,678452.75,Active,11.62,ZAR
ACC269020,CUS34017,Nedbank,Hatfield,198765,NEDSZAJJ,Current,2021-05-04,849588.64,Closed,4.92,ZAR
ACC873407,CUS34017,Nedbank,Rivonia,198765,NEDSZAJJ,Current,2023-04-08,907689.4,Dormant,11.56,ZAR
ACC501699,CUS91450,Nedbank,V&A Waterfront,198765,NEDSZAJJ,Credit Card,2020-02-15,298113.31,Closed,5.3,ZAR
ACC330293,CUS91450,Discovery Bank,Ballito,679000,DISCJJ,Savings,2023-04-04,851098.43,Active,11.45,ZAR
ACC258043,CUS91450,Capitec,Pinetown,470010,CABLZAJJ,Investment,2021-10-21,271042.47,Active,5.48,ZAR
ACC694433,CUS91450,Capitec,Claremont,470010,CABLZAJJ,Credit Card,2023-06-10,673546.71,Active,7.02,ZAR
ACC202358,CUS14336,Capitec,Centurion,470010,CABLZAJJ,Current,2020-09-01,45645.1,Active,4.39,ZAR
ACC537559,CUS14336,FNB,Gateway,250655,FIRNZAJJ,Investment,2020-10-29,589778.98,Closed,4.33,ZAR
ACC829172,CUS14336,TymeBank,Digital,678910,TYMEZAJJ,Investment,2020-06-27,695605.07,Active,9.88,ZAR
ACC342453,CUS10320,Capitec,Pinetown,470010,CABLZAJJ,Savings,2024-04-26,411590.43,Active,6.78,ZAR
ACC995132,CUS10320,Capitec,Midrand,470010,CABLZAJJ,Savings,2020-04-08,41249.3,Closed,8.44,ZAR
ACC341475,CUS10320,Capitec,Centurion,470010,CABLZAJJ,Savings,2020-11-09,543997.53,Closed,9.67,ZAR
ACC913842,CUS23495,FNB,Fourways,250655,FIRNZAJJ,Investment,2020-12-08,741914.55,Dormant,3.67,ZAR
ACC371889,CUS23495,FNB,Fourways,250655,FIRNZAJJ,Investment,2023-08-21,729455.87,Dormant,3.73,ZAR
ACC578500,CUS23495,FNB,Menlyn,250655,FIRNZAJJ,Investment,2022-12-03,62066.66,Dormant,11.08,ZAR
ACC718113,CUS30971,Standard Bank,Brooklyn,051001,SBZAZAJJ,Savings,2022-03-27,539972.86,Closed,10.48,ZAR
ACC100307,CUS30971,Capitec,Claremont,470010,CABLZAJJ,Savings,2021-08-09,131036.53,Active,9.11,ZAR
ACC469258,CUS30971,Capitec,Midrand,470010,CABLZAJJ,Investment,2024-11-08,611729.25,Active,11.1,ZAR
